,循环号,放电容量/Ah,矢量
17,17.0,0.9652626482691842,"[0, 1.1130555555555557, 0.16666666666666666, 1.0847222222222221, 0.16666666666666666, 0.9652626482691842]"
18,18.0,0.9630234809973368,"[0, 1.1127777777777779, 0.16666666666666666, 1.0844444444444443, 0.16666666666666666, 0.9630234809973368]"
19,19.0,0.9608448317598643,"[0, 1.1125, 0.16666666666666666, 1.083888888888889, 0.16666666666666666, 0.9608448317598643]"
20,20.0,0.95836359235052,"[0, 1.1122222222222222, 0.16666666666666666, 1.083611111111111, 0.16666666666666666, 0.95836359235052]"
21,21.0,0.9557007988380537,"[0, 1.1119444444444446, 0.16666666666666666, 1.0830555555555554, 0.16666666666666666, 0.9557007988380537]"
22,22.0,0.9539457758412011,"[0, 1.1116666666666668, 0.16666666666666666, 1.0827777777777778, 0.16666666666666666, 0.9539457758412011]"
23,23.0,0.950859356088114,"[0, 1.1119444444444446, 0.16666666666666666, 1.0822222222222222, 0.16666666666666666, 0.950859356088114]"
24,24.0,0.9314330670539821,"[0, 1.111388888888889, 0.16666666666666666, 1.0788888888888888, 0.16666666666666666, 0.9314330670539821]"
25,25.0,0.9097070927136279,"[0, 1.1236111111111111, 0.16666666666666666, 1.0752777777777778, 0.16666666666666666, 0.9097070927136279]"
26,26.0,0.9062575647542959,"[0, 1.1194444444444445, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.9062575647542959]"
27,27.0,0.9372427983539087,"[0, 1.1061111111111113, 0.16666666666666666, 1.08, 0.16666666666666666, 0.9372427983539087]"
28,28.0,0.9369402081820377,"[0, 1.110277777777778, 0.16666666666666666, 1.08, 0.16666666666666666, 0.9369402081820377]"
29,29.0,0.9360324376664249,"[0, 1.1108333333333333, 0.16666666666666666, 1.0797222222222222, 0.16666666666666666, 0.9360324376664249]"
30,30.0,0.9336722343258286,"[0, 1.1111111111111112, 0.16666666666666666, 1.0794444444444444, 0.16666666666666666, 0.9336722343258286]"
31,31.0,0.9332486080852087,"[0, 1.11, 0.16666666666666666, 1.0794444444444444, 0.16666666666666666, 0.9332486080852087]"
32,32.0,0.9210239651416119,"[0, 1.11, 0.16666666666666666, 1.0775, 0.16666666666666666, 0.9210239651416119]"
