,循环号,放电容量/Ah,矢量
0,0.0,1.0,"[0.16666666666666666, 0, 0, 0, 0, 1.0]"
1,1.0,1.0,"[0, 0.5894444444444444, 0.16666666666666666, 1.0916666666666666, 0.16666666666666666, 1.0]"
2,2.0,0.9996411912450656,"[0, 1.1183333333333334, 0.16666666666666666, 1.0916666666666666, 0.16666666666666666, 0.9996411912450656]"
3,3.0,0.997667743092931,"[0, 1.1188888888888888, 0.16666666666666666, 1.0913888888888887, 0.16666666666666666, 0.997667743092931]"
4,4.0,0.9909699796675033,"[0, 1.1186111111111112, 0.16666666666666666, 1.0891666666666666, 0.16666666666666666, 0.9909699796675033]"
5,5.0,0.9766176294701587,"[0, 1.1291666666666667, 0.16666666666666666, 1.086111111111111, 0.16666666666666666, 0.9766176294701587]"
6,6.0,0.9706374835545981,"[0, 1.1247222222222222, 0.16666666666666666, 1.085, 0.16666666666666666, 0.9706374835545981]"
7,7.0,0.9851094366702542,"[0, 1.1244444444444446, 0.16666666666666666, 1.0880555555555556, 0.16666666666666666, 0.9851094366702542]"
8,8.0,0.986006458557589,"[0, 1.1147222222222224, 0.16666666666666666, 1.0891666666666666, 0.16666666666666666, 0.986006458557589]"
9,9.0,0.9851094366702542,"[0, 1.1161111111111113, 0.16666666666666666, 1.0891666666666666, 0.16666666666666666, 0.9851094366702542]"
10,10.0,0.9831957899772741,"[0, 1.1163888888888889, 0.16666666666666666, 1.0888888888888888, 0.16666666666666666, 0.9831957899772741]"
11,11.0,0.9795479009687833,"[0, 1.1169444444444445, 0.16666666666666666, 1.0883333333333332, 0.16666666666666666, 0.9795479009687833]"
12,12.0,0.9772754455208705,"[0, 1.1161111111111113, 0.16666666666666666, 1.0880555555555556, 0.16666666666666666, 0.9772754455208705]"
13,13.0,0.9749431886138016,"[0, 1.1158333333333335, 0.16666666666666666, 1.0875, 0.16666666666666666, 0.9749431886138016]"
14,14.0,0.9728501375433565,"[0, 1.1152777777777778, 0.16666666666666666, 1.087222222222222, 0.16666666666666666, 0.9728501375433565]"
15,15.0,0.9703384762588207,"[0, 1.115, 0.16666666666666666, 1.0869444444444443, 0.16666666666666666, 0.9703384762588207]"
16,16.0,0.9681258222700633,"[0, 1.1144444444444446, 0.16666666666666666, 1.0863888888888888, 0.16666666666666666, 0.9681258222700633]"
17,17.0,0.9657935653629943,"[0, 1.1141666666666667, 0.16666666666666666, 1.086111111111111, 0.16666666666666666, 0.9657935653629943]"
18,18.0,0.9635211099150816,"[0, 1.113888888888889, 0.16666666666666666, 1.0858333333333332, 0.16666666666666666, 0.9635211099150816]"
19,19.0,0.9614280588446356,"[0, 1.1133333333333335, 0.16666666666666666, 1.0852777777777778, 0.16666666666666666, 0.9614280588446356]"
20,20.0,0.9583781844276995,"[0, 1.113611111111111, 0.16666666666666666, 1.0847222222222221, 0.16666666666666666, 0.9583781844276995]"
21,21.0,0.9562851333572535,"[0, 1.1130555555555557, 0.16666666666666666, 1.0844444444444443, 0.16666666666666666, 0.9562851333572535]"
22,22.0,0.9537734720727187,"[0, 1.1130555555555557, 0.16666666666666666, 1.083888888888889, 0.16666666666666666, 0.9537734720727187]"
23,23.0,0.9508432005740932,"[0, 1.1127777777777779, 0.16666666666666666, 1.083611111111111, 0.16666666666666666, 0.9508432005740932]"
24,24.0,0.9371486664274604,"[0, 1.1166666666666667, 0.16666666666666666, 1.0797222222222222, 0.16666666666666666, 0.9371486664274604]"
25,25.0,0.9268628154526972,"[0, 1.1219444444444444, 0.16666666666666666, 1.0777777777777777, 0.16666666666666666, 0.9268628154526972]"
26,26.0,0.9351154168161706,"[0, 1.1191666666666666, 0.16666666666666666, 1.0794444444444444, 0.16666666666666666, 0.9351154168161706]"
27,27.0,0.9446836502810658,"[0, 1.1083333333333334, 0.16666666666666666, 1.081388888888889, 0.16666666666666666, 0.9446836502810658]"
28,28.0,0.9434876210979546,"[0, 1.111388888888889, 0.16666666666666666, 1.081388888888889, 0.16666666666666666, 0.9434876210979546]"
29,29.0,0.9419925846190642,"[0, 1.1111111111111112, 0.16666666666666666, 1.0811111111111111, 0.16666666666666666, 0.9419925846190642]"
30,30.0,0.9367300562133716,"[0, 1.1116666666666668, 0.16666666666666666, 1.0808333333333333, 0.16666666666666666, 0.9367300562133716]"
31,31.0,0.9367300562133716,"[0, 1.111388888888889, 0.16666666666666666, 1.0805555555555555, 0.16666666666666666, 0.9367300562133716]"
32,32.0,0.9238129410357603,"[0, 1.110277777777778, 0.16666666666666666, 1.0775, 0.16666666666666666, 0.9238129410357603]"
33,33.0,0.9084439660327703,"[0, 1.121388888888889, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.9084439660327703]"
34,34.0,0.9036000478411665,"[0, 1.1180555555555556, 0.16666666666666666, 1.073888888888889, 0.16666666666666666, 0.9036000478411665]"
35,35.0,0.8980983135988518,"[0, 1.1186111111111112, 0.16666666666666666, 1.0730555555555557, 0.16666666666666666, 0.8980983135988518]"
36,36.0,0.9256667862695851,"[0, 1.1066666666666667, 0.16666666666666666, 1.0783333333333334, 0.16666666666666666, 0.9256667862695851]"
37,37.0,0.9278794402583417,"[0, 1.1083333333333334, 0.16666666666666666, 1.0786111111111112, 0.16666666666666666, 0.9278794402583417]"
38,38.0,0.9254275804329621,"[0, 1.1080555555555556, 0.16666666666666666, 1.0788888888888888, 0.16666666666666666, 0.9254275804329621]"
39,39.0,0.9214208826695369,"[0, 1.11, 0.16666666666666666, 1.0786111111111112, 0.16666666666666666, 0.9214208826695369]"
40,40.0,0.924949168759718,"[0, 1.1086111111111112, 0.16666666666666666, 1.0783333333333334, 0.16666666666666666, 0.924949168759718]"
41,41.0,0.91932783159909,"[0, 1.1086111111111112, 0.16666666666666666, 1.0780555555555555, 0.16666666666666666, 0.91932783159909]"
42,42.0,0.9110752302356175,"[0, 1.1086111111111112, 0.16666666666666666, 1.0758333333333334, 0.16666666666666666, 0.9110752302356175]"
43,43.0,0.8940916158354257,"[0, 1.1211111111111112, 0.16666666666666666, 1.0725, 0.16666666666666666, 0.8940916158354257]"
44,44.0,0.8883506757564881,"[0, 1.1169444444444445, 0.16666666666666666, 1.071388888888889, 0.16666666666666666, 0.8883506757564881]"
45,45.0,0.9050950843200569,"[0, 1.1172222222222223, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.9050950843200569]"
46,46.0,0.91280947255113,"[0, 1.1052777777777778, 0.16666666666666666, 1.076111111111111, 0.16666666666666666, 0.91280947255113]"
47,47.0,0.9114938404497064,"[0, 1.1069444444444445, 0.16666666666666666, 1.0763888888888888, 0.16666666666666666, 0.9114938404497064]"
48,48.0,0.9126300681736632,"[0, 1.1072222222222223, 0.16666666666666666, 1.076111111111111, 0.16666666666666666, 0.9126300681736632]"
49,49.0,0.9105370171032172,"[0, 1.1069444444444445, 0.16666666666666666, 1.076111111111111, 0.16666666666666666, 0.9105370171032172]"
50,50.0,0.9091615835426383,"[0, 1.1075000000000002, 0.16666666666666666, 1.0758333333333334, 0.16666666666666666, 0.9091615835426383]"
51,51.0,0.9068293266355703,"[0, 1.1072222222222223, 0.16666666666666666, 1.0755555555555556, 0.16666666666666666, 0.9068293266355703]"
52,52.0,0.9064705178806367,"[0, 1.1066666666666667, 0.16666666666666666, 1.0752777777777778, 0.16666666666666666, 0.9064705178806367]"
53,53.0,0.9021648128214323,"[0, 1.1066666666666667, 0.16666666666666666, 1.0752777777777778, 0.16666666666666666, 0.9021648128214323]"
54,54.0,0.9029422317904547,"[0, 1.1066666666666667, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.9029422317904547]"
55,55.0,0.9024638201172106,"[0, 1.1061111111111113, 0.16666666666666666, 1.0744444444444445, 0.16666666666666666, 0.9024638201172106]"
56,56.0,0.8980983135988518,"[0, 1.1052777777777778, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.8980983135988518]"
57,57.0,0.8983375194354739,"[0, 1.1055555555555556, 0.16666666666666666, 1.0744444444444445, 0.16666666666666666, 0.8983375194354739]"
58,58.0,0.8951082406410711,"[0, 1.105, 0.16666666666666666, 1.0741666666666667, 0.16666666666666666, 0.8951082406410711]"
59,59.0,0.8937926085396475,"[0, 1.1047222222222224, 0.16666666666666666, 1.073888888888889, 0.16666666666666666, 0.8937926085396475]"
60,60.0,0.8918789618466691,"[0, 1.1055555555555556, 0.16666666666666666, 1.073611111111111, 0.16666666666666666, 0.8918789618466691]"
61,61.0,0.8897261093170679,"[0, 1.105, 0.16666666666666666, 1.0733333333333333, 0.16666666666666666, 0.8897261093170679]"
62,62.0,0.8754335605788777,"[0, 1.1083333333333334, 0.16666666666666666, 1.0694444444444444, 0.16666666666666666, 0.8754335605788777]"
63,63.0,0.8655065183590471,"[0, 1.1155555555555556, 0.16666666666666666, 1.0677777777777777, 0.16666666666666666, 0.8655065183590471]"
64,64.0,0.8641310847984682,"[0, 1.1147222222222224, 0.16666666666666666, 1.0675, 0.16666666666666666, 0.8641310847984682]"
65,65.0,0.8851213969620852,"[0, 1.1005555555555557, 0.16666666666666666, 1.0716666666666665, 0.16666666666666666, 0.8851213969620852]"
66,66.0,0.8864370290635089,"[0, 1.1025, 0.16666666666666666, 1.0722222222222222, 0.16666666666666666, 0.8864370290635089]"
67,67.0,0.882968544432484,"[0, 1.1030555555555557, 0.16666666666666666, 1.0722222222222222, 0.16666666666666666, 0.882968544432484]"
68,68.0,0.8830283458916393,"[0, 1.1030555555555557, 0.16666666666666666, 1.0722222222222222, 0.16666666666666666, 0.8830283458916393]"
69,69.0,0.881832316708528,"[0, 1.1019444444444446, 0.16666666666666666, 1.0719444444444444, 0.16666666666666666, 0.881832316708528]"
70,70.0,0.88111469919866,"[0, 1.1025, 0.16666666666666666, 1.0711111111111111, 0.16666666666666666, 0.88111469919866]"
71,71.0,0.8606626001674442,"[0, 1.1155555555555556, 0.16666666666666666, 1.0669444444444445, 0.16666666666666666, 0.8606626001674442]"
72,72.0,0.8540246382011709,"[0, 1.1122222222222222, 0.16666666666666666, 1.0658333333333334, 0.16666666666666666, 0.8540246382011709]"
73,73.0,0.8481042937447665,"[0, 1.1127777777777779, 0.16666666666666666, 1.0647222222222223, 0.16666666666666666, 0.8481042937447665]"
